BIN;WINE;PRODUCER;YEAR;BOTTLES;READY
2;Chardonnay;Buena Vista;2015;1;2017
3;Chardonnay;Geyser Peak;2015;5;2017
6;Chardonnay;Simi;2014;4;2016
12;Joh. Riesling;Jekel;2016;1;2017
21;Fumé Blanc;Ch. St. Jean;2015;4;2017
22;Fumé Blanc;Robt. Mondavi;2014;2;2016
30;Gewürztraminer;Ch. St. Jean;2016;3;2017
43;Cab. Sauvignon;Windsor;2009;12;2018
45;Cab. Sauvignon;Geyser Peak;2012;12;2020
48;Cab. Sauvignon;Robt. Mondavi;2011;12;2022
50;Pinot Noir;Gary Farrell;2014;3;2017
51;Pinot Noir;Fetzer;2011;3;2018
52;Pinot Noir;Dehlinger;2013;2;2016
58;Merlot;Clos du Bois;2012;9;2018
64;Zinfandel;Cline;2012;9;2021
72;Zinfandel;Rafanelli;2013;2;2021